school,sex,age,address,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,Walc,absences,G1,G2,G3
GP,F,18,U,4,4,1,2,1,yes,yes,no,yes,1,2,14,12,13
GP,F,17,U,2,2,3,3,0,no,yes,no,no,1,8,13,15,15
GP,F,19,R,3,2,1,2,1,yes,yes,no,no,3,0,9,8,10
GP,M,18,U,4,3,2,1,0,no,no,no,yes,2,0,10,10,10
GP,M,18,U,1,2,2,1,0,no,no,no,no,4,10,10,10,11
GP,M,17,U,4,1,2,1,0,no,no,no,yes,4,22,11,11,10
GP,M,17,U,3,2,1,1,0,no,no,no,no,4,18,13,13,13
GP,F,18,R,1,1,2,4,0,no,yes,no,yes,1,2,17,17,18
GP,F,18,U,1,1,2,2,0,yes,no,no,yes,1,0,12,13,13
GP,F,17,U,2,2,1,2,0,no,yes,no,no,2,12,12,12,14
GP,F,18,U,2,1,2,2,0,no,no,no,yes,1,10,12,13,14
GP,M,17,U,1,1,1,2,0,no,no,no,no,2,0,12,12,12
GP,F,18,U,2,2,1,3,0,no,yes,no,no,2,0,18,18,18
GP,F,17,U,1,1,1,3,0,no,yes,no,no,1,0,13,13,14
GP,M,18,U,2,1,1,3,0,no,no,no,yes,3,0,14,15,15
GP,M,18,U,4,4,1,2,0,no,yes,no,yes,1,0,17,17,17
GP,M,18,U,4,2,1,2,0,no,yes,no,yes,4,2,15,16,16
GP,F,17,U,4,3,1,3,0,no,yes,no,no,2,0,17,18,18
GP,F,17,R,3,1,2,4,0,no,yes,no,no,1,0,18,19,19
GP,M,18,R,3,2,2,3,0,no,yes,no,yes,1,0,14,15,15
GP,M,17,U,3,3,1,1,0,no,yes,no,no,3,0,14,15,15
GP,F,19,U,4,4,2,2,0,no,yes,no,yes,3,2,14,13,13
GP,F,18,U,4,3,2,2,0,no,yes,no,no,2,0,13,14,14
GP,F,18,U,4,3,1,4,0,no,yes,no,no,1,0,16,17,17
GP,M,18,U,4,4,1,1,0,no,yes,no,no,2,0,18,18,17
GP,F,18,U,4,4,1,2,0,no,yes,yes,no,1,0,14,15,15
GP,M,17,U,4,4,2,1,0,no,no,no,no,2,0,12,13,13
GP,F,17,R,4,4,2,3,0,no,yes,no,yes,1,0,7,7,8
GP,F,17,U,4,2,2,3,0,no,yes,no,no,1,0,16,16,16
GP,F,17,U,3,2,1,4,0,no,yes,no,yes,2,0,18,18,18
GP,M,19,R,2,1,2,3,1,no,no,no,yes,1,0,9,10,11
GP,M,20,U,3,2,1,1,2,no,no,no,yes,1,0,14,15,15
GP,M,19,R,3,3,1,2,0,no,no,no,yes,2,0,10,10,11
GP,F,18,U,1,4,1,2,0,yes,yes,no,no,2,2,10,10,11
GP,F,18,U,2,1,2,2,0,no,yes,no,yes,2,2,12,12,15
GP,F,17,U,2,3,2,2,0,no,no,no,yes,1,2,11,12,14
GP,F,17,R,4,4,1,1,0,no,no,no,yes,1,2,15,16,17
GP,F,18,U,4,3,1,3,0,no,yes,no,yes,1,2,14,15,17
GP,F,18,U,4,3,2,1,0,no,yes,no,no,4,8,12,12,15
GP,F,17,R,3,4,1,3,0,no,yes,no,yes,5,2,15,15,17
GP,F,18,U,3,3,1,2,0,no,yes,no,no,1,8,11,12,14
GP,M,19,U,4,2,2,2,0,no,yes,no,yes,1,9,11,10,10
GP,F,18,U,4,4,1,2,0,no,yes,no,no,3,0,12,11,13
GP,F,18,U,3,4,1,1,0,no,yes,no,yes,1,4,11,12,14
GP,F,17,U,4,4,1,1,0,no,no,no,yes,2,2,14,15,17
GP,F,17,U,4,3,1,2,0,no,yes,no,no,2,14,15,14,17
GP,F,17,U,3,3,1,2,0,yes,yes,no,no,1,0,12,12,13
GP,F,17,U,2,1,1,2,0,no,no,no,yes,2,2,11,12,14
GP,M,18,U,4,4,1,1,0,no,yes,no,no,4,2,8,9,11
GP,F,19,U,1,1,3,3,0,no,no,no,yes,3,12,10,10,11
GP,F,19,U,1,1,3,2,2,no,yes,no,no,1,2,8,8,9
GP,F,18,U,2,2,1,1,0,no,yes,no,yes,4,2,10,10,10
GP,F,17,U,2,2,1,2,0,no,yes,no,no,1,4,14,13,13
GP,F,17,R,2,2,1,3,0,no,yes,no,yes,2,0,11,11,10
GP,F,17,U,3,1,1,3,0,no,yes,no,no,3,0,17,18,17
GP,F,17,U,0,2,2,3,0,no,no,no,no,3,0,14,14,15
GP,F,18,U,1,1,2,3,0,no,no,no,yes,2,0,14,14,14
GP,M,18,U,4,4,1,3,0,no,no,no,yes,2,0,13,14,13
GP,M,17,U,3,3,1,1,0,no,no,no,yes,5,0,17,18,17
GP,M,17,R,2,2,4,1,0,no,yes,no,no,5,2,11,10,10
GP,F,17,U,4,4,1,3,0,no,yes,no,yes,3,0,13,12,13
GP,F,17,U,4,4,2,3,0,no,yes,no,no,2,4,15,14,15
GP,F,17,U,3,3,1,1,0,no,yes,yes,yes,5,2,11,12,11
GP,M,18,U,2,2,1,4,0,no,yes,yes,yes,4,0,11,11,12
GP,M,19,R,3,2,1,1,0,no,yes,no,no,2,0,11,10,10
GP,F,18,U,2,2,4,2,0,no,no,no,yes,1,2,10,9,10
GP,F,17,R,2,4,1,3,0,no,yes,no,no,1,0,15,15,15
GP,M,18,U,2,2,1,1,0,no,no,no,no,2,6,15,14,15
GP,F,18,U,3,3,1,2,0,no,no,no,yes,1,8,10,11,12
GP,F,18,U,2,2,1,2,0,no,no,no,yes,1,0,10,9,12
GP,F,18,R,2,2,2,4,0,no,no,no,yes,1,6,14,13,14
GP,F,17,U,3,4,1,3,0,no,no,no,no,3,8,11,13,14
GP,F,17,U,3,2,1,2,0,no,yes,no,no,3,0,12,13,15
GP,F,18,U,3,3,1,4,0,no,yes,no,no,1,4,14,14,15
GP,F,17,R,3,2,1,2,0,no,yes,no,no,3,0,14,14,16
GP,M,18,U,4,4,1,2,0,no,yes,no,yes,2,0,12,12,13
GP,M,18,U,3,4,1,2,0,no,no,no,yes,3,6,16,16,17
GP,F,17,U,2,2,1,2,0,no,yes,no,no,2,18,10,12,14
GP,F,18,U,2,3,1,3,0,no,yes,no,no,2,0,11,12,14
GP,F,18,U,3,2,1,3,0,no,no,no,no,3,4,14,16,17
GP,M,18,R,4,3,1,3,0,no,no,no,no,2,4,15,14,17
GP,M,18,U,4,3,1,3,0,no,yes,no,no,3,0,14,13,14
GP,F,17,U,4,3,1,3,0,no,yes,no,yes,3,0,11,12,13
GP,F,17,U,2,1,2,2,0,no,yes,no,yes,2,10,12,15,15
GP,F,17,U,2,1,1,2,0,no,yes,no,yes,4,4,12,16,16
GP,F,19,U,2,3,2,1,1,no,no,no,no,4,16,10,11,11
GP,F,17,U,3,1,1,1,1,no,yes,yes,no,1,6,10,13,13
GP,F,21,U,4,4,1,3,2,no,no,yes,yes,1,0,9,12,12
GP,M,18,U,2,2,1,2,0,no,yes,no,yes,3,11,9,11,12
GP,M,18,U,3,4,1,2,0,no,no,no,yes,4,9,13,14,15
GP,F,17,U,2,2,1,2,0,no,yes,no,yes,3,0,13,17,17
GP,M,17,U,4,4,1,3,0,no,yes,no,no,2,2,12,15,15
GP,F,18,U,4,2,1,2,0,no,yes,no,yes,1,0,14,17,17
GP,M,21,R,1,1,2,2,2,no,yes,no,yes,2,21,9,10,10
GP,F,20,R,1,1,2,3,0,no,no,no,no,3,8,11,15,15
GP,F,19,U,4,4,1,1,1,no,yes,no,no,4,5,9,10,11
GP,M,17,U,3,2,1,2,0,no,yes,no,no,2,10,16,18,18
GP,F,18,U,3,2,1,3,0,no,yes,no,no,2,5,14,17,17
GP,M,18,R,2,3,1,1,0,no,no,no,no,5,13,13,14,14
GP,M,19,U,2,1,1,1,0,no,no,no,no,4,10,7,11,11
GP,F,18,U,2,2,2,2,0,no,yes,no,no,3,10,14,17,17
GP,F,20,U,1,0,2,1,1,yes,no,no,no,1,5,8,10,10
GP,F,18,U,3,2,1,2,0,no,yes,no,yes,2,4,10,13,13
MS,F,16,U,1,3,2,1,0,no,yes,no,no,3,11,10,11,11
MS,F,16,R,2,2,2,2,0,no,yes,no,yes,1,0,12,12,12
MS,F,15,R,1,1,1,1,1,no,yes,no,no,1,6,10,10,10
MS,F,15,R,3,3,2,1,0,no,yes,no,no,3,4,10,10,11
MS,F,16,R,2,3,2,2,0,no,no,no,no,2,0,16,17,17
MS,F,15,R,2,1,2,1,0,no,no,no,no,1,0,6,8,9
MS,M,16,R,4,4,1,2,0,no,yes,no,no,3,5,10,11,11
MS,M,16,U,1,2,1,3,0,yes,no,no,no,1,0,10,11,11
MS,F,17,R,3,2,1,2,1,no,no,no,no,2,0,10,10,10
MS,F,17,R,1,1,1,1,1,no,yes,no,no,2,0,6,6,7
MS,F,15,R,4,4,2,1,0,no,no,no,no,5,0,13,14,14
MS,F,16,U,2,2,2,4,0,no,no,no,yes,1,4,10,9,11
MS,F,15,R,1,1,2,2,0,no,yes,no,no,2,0,10,10,10
MS,F,15,R,1,1,2,1,1,no,yes,no,no,2,4,6,7,8
MS,F,16,R,0,2,2,1,0,no,yes,no,yes,2,0,12,11,12
MS,F,17,R,2,3,2,1,0,no,yes,no,no,3,2,10,11,12
MS,F,15,R,3,3,2,1,0,no,no,no,no,1,0,14,16,16
MS,M,16,U,1,1,2,2,0,no,yes,no,yes,5,0,7,0,0
MS,M,17,U,1,1,1,2,0,no,no,yes,no,4,4,8,9,9
MS,M,15,R,4,1,1,2,0,no,yes,no,yes,2,0,12,13,14
MS,M,15,R,4,1,1,2,0,no,yes,no,yes,2,7,7,9,8
MS,M,16,R,3,4,3,2,0,no,no,no,no,2,4,9,10,11
MS,M,15,R,1,1,4,2,0,no,yes,no,yes,4,8,7,9,9
MS,M,15,U,3,3,1,2,0,no,yes,no,yes,1,0,11,11,11
MS,M,17,R,2,1,3,1,0,no,no,no,yes,5,8,8,10,9
MS,F,16,R,4,4,2,3,0,no,no,no,yes,1,6,16,16,17
MS,F,15,R,1,2,2,1,0,no,no,no,no,1,3,11,13,13
MS,F,16,R,2,3,3,2,0,no,yes,no,no,2,2,15,15,15
MS,M,16,R,1,2,2,2,0,no,no,no,no,1,0,10,11,11
MS,F,16,R,2,2,3,2,0,no,yes,no,no,1,4,9,10,11
MS,F,16,U,1,2,1,3,1,no,yes,no,no,2,0,10,8,8
MS,F,16,U,1,2,1,3,1,no,yes,no,no,2,3,9,8,8
MS,F,15,U,2,1,1,2,0,yes,yes,no,no,3,0,9,10,9
MS,F,16,U,1,1,1,2,0,no,yes,no,no,1,0,13,14,15
MS,M,17,R,1,2,1,1,0,no,yes,no,yes,5,4,10,11,11
MS,F,16,R,1,1,4,4,0,no,yes,no,no,1,0,13,10,13
MS,F,16,R,1,1,4,3,0,yes,yes,no,no,1,2,10,9,10
MS,F,15,R,1,1,2,2,0,no,yes,no,yes,1,1,11,10,11
MS,F,16,R,1,1,2,1,0,no,no,no,yes,3,0,13,12,14
MS,F,15,R,1,1,3,2,0,no,yes,no,no,2,0,13,14,14
MS,F,15,R,2,2,1,3,0,yes,yes,no,no,2,2,14,11,12
MS,M,16,R,1,1,2,1,0,no,no,no,yes,4,6,11,11,11
MS,F,18,U,1,2,1,2,1,no,yes,no,yes,3,9,9,8,8
MS,M,15,U,3,1,2,1,0,no,yes,no,no,3,0,10,9,11
MS,F,16,R,2,2,3,2,0,no,yes,no,yes,1,1,14,13,14
MS,M,15,U,2,2,3,1,0,no,no,no,no,2,1,13,12,13
MS,M,16,U,4,4,1,2,0,no,yes,no,yes,1,0,13,12,13
MS,F,15,R,3,3,1,2,0,no,yes,no,no,1,4,13,12,12
MS,F,16,R,2,2,2,2,1,no,yes,no,yes,3,2,12,11,12
MS,F,16,R,2,2,3,1,0,no,yes,no,yes,1,0,14,14,16
MS,M,16,U,2,1,2,1,0,no,yes,no,yes,3,4,10,8,10
MS,M,15,R,1,3,3,1,0,no,yes,no,yes,5,2,10,11,11
MS,F,15,U,2,2,2,3,0,no,yes,no,yes,1,0,12,13,14
MS,F,16,R,2,1,1,1,0,no,yes,no,no,1,2,10,8,8
MS,M,15,U,3,3,2,1,0,no,yes,no,yes,4,11,12,10,11
MS,F,16,R,1,1,2,2,3,yes,yes,no,no,1,0,7,7,8
MS,F,17,U,2,2,1,1,0,no,yes,no,yes,1,4,9,9,10
MS,F,19,U,2,3,1,1,1,no,no,no,no,1,0,9,9,10
MS,F,17,R,2,1,3,1,0,no,yes,no,yes,1,2,9,10,11
MS,F,15,R,1,1,2,1,0,no,yes,no,no,3,0,9,10,9
MS,F,16,R,2,2,3,2,0,no,yes,no,no,2,1,9,10,11
MS,F,16,U,2,2,1,1,0,no,yes,no,no,2,6,7,7,8
MS,F,17,R,2,2,2,2,0,no,yes,no,no,2,0,11,10,11
MS,F,16,U,2,2,1,1,1,no,yes,yes,yes,4,1,9,10,10
MS,F,18,R,3,2,2,3,2,no,yes,no,no,1,6,7,9,10
MS,F,19,U,1,1,1,3,1,no,no,no,yes,1,6,7,9,9
MS,M,18,R,1,1,2,1,1,no,no,no,yes,4,0,8,9,10
MS,F,18,R,1,1,2,1,1,no,no,no,no,1,4,9,11,10
MS,F,19,U,1,1,2,2,1,no,yes,no,no,1,12,7,8,9
MS,F,16,R,2,2,1,2,0,no,no,no,no,1,2,8,10,10
MS,F,17,U,0,1,2,1,0,no,no,no,yes,5,5,9,9,10
MS,F,16,R,1,2,1,2,0,no,no,no,yes,3,0,8,9,9
MS,F,16,U,3,3,1,1,0,no,no,no,yes,1,0,14,13,13
MS,F,16,R,1,1,1,1,0,no,yes,no,yes,2,2,14,14,14
MS,M,17,U,3,3,2,4,1,no,yes,yes,yes,4,0,10,11,10
MS,F,16,U,2,1,1,2,0,no,yes,no,yes,1,0,14,13,14
MS,F,16,U,2,2,1,1,0,no,yes,yes,yes,2,0,17,16,16
MS,M,17,U,1,2,1,1,1,no,yes,no,yes,5,12,6,7,7
MS,M,16,U,4,3,1,1,0,no,no,no,yes,5,8,14,12,13
MS,M,17,R,2,2,3,4,1,no,yes,no,no,5,2,10,8,9
MS,F,16,U,1,1,1,4,0,yes,yes,no,yes,1,0,14,14,14
MS,F,19,U,2,2,1,3,0,no,no,no,no,1,0,12,13,13
MS,F,17,R,1,1,2,1,0,no,yes,no,yes,2,0,11,11,11
MS,F,20,U,3,3,2,2,1,no,no,no,yes,4,8,11,9,10
MS,F,17,U,1,1,1,3,0,no,yes,no,no,1,0,11,11,10
MS,M,17,R,2,2,3,1,1,no,yes,no,no,2,0,10,9,9
MS,F,16,R,1,1,3,2,0,no,yes,no,no,1,0,16,17,18
MS,F,17,R,2,2,2,2,0,no,yes,no,yes,1,0,15,17,17
MS,F,17,U,1,0,2,2,0,no,no,no,no,1,1,11,9,10
MS,F,18,R,1,1,1,2,1,no,yes,no,no,1,9,7,7,7
MS,F,16,U,3,1,1,1,0,no,no,no,yes,3,0,8,6,8
MS,F,16,U,3,2,1,1,0,no,no,no,no,4,2,7,6,7
MS,F,18,U,1,1,2,2,0,yes,no,no,no,4,8,9,8,10
MS,F,16,R,4,4,1,2,0,no,no,no,yes,3,0,14,16,16
MS,F,16,R,1,2,2,1,0,no,no,no,yes,4,0,14,14,15
MS,F,18,U,2,4,1,2,1,no,yes,no,no,3,8,8,5,8
MS,M,16,R,2,1,2,2,0,no,no,no,yes,1,0,8,7,0
MS,F,16,U,1,1,3,2,0,no,yes,no,no,3,6,6,8,8
MS,F,16,R,2,3,2,2,0,no,yes,no,yes,1,0,8,10,10
MS,F,16,U,4,4,1,2,0,no,yes,no,no,2,4,8,8,8
MS,M,18,U,4,4,1,4,0,no,yes,no,yes,5,2,5,6,6
MS,F,16,R,3,4,3,2,0,no,yes,no,no,1,2,7,9,8
MS,M,17,U,4,4,1,3,0,no,yes,no,no,2,0,15,14,16
MS,F,17,R,4,1,1,1,0,no,no,no,no,2,1,13,14,14
MS,M,16,U,2,2,4,3,0,no,no,no,no,2,0,10,9,10
MS,F,17,R,2,2,1,1,0,no,yes,yes,no,2,5,9,9,9
MS,F,16,U,4,4,2,1,0,no,yes,no,no,2,1,11,11,11
MS,M,17,U,3,3,1,1,0,no,yes,no,yes,5,8,7,10,9
MS,M,17,U,1,1,3,2,0,no,no,no,no,3,0,10,10,10
MS,M,16,U,2,1,2,2,0,no,no,no,no,4,2,9,7,8
MS,F,16,U,2,1,1,2,0,no,no,no,no,1,0,14,15,16
MS,M,16,U,4,4,1,1,0,no,yes,no,no,5,0,11,12,12
MS,M,15,R,1,2,3,2,0,no,yes,no,yes,3,11,9,11,10
MS,M,15,U,2,2,3,4,0,no,yes,no,yes,3,8,13,14,14
MS,M,15,U,2,1,1,1,0,no,no,no,yes,2,11,12,13,12
MS,F,16,R,2,2,1,3,0,no,yes,no,no,2,2,11,11,11
MS,F,16,U,4,1,2,2,0,no,yes,no,yes,2,8,9,10,10
MS,F,17,U,3,2,2,1,0,no,no,no,no,2,5,9,11,11
MS,F,17,R,2,2,2,2,0,yes,no,yes,no,1,0,11,9,11
MS,F,16,U,4,4,2,3,0,no,yes,no,no,4,1,10,11,12
MS,M,17,R,4,4,3,1,3,no,no,no,yes,3,2,9,9,8
MS,M,17,R,1,3,2,1,0,no,no,no,yes,3,2,12,11,12
MS,M,17,U,3,4,1,2,1,no,yes,no,yes,4,8,8,9,8
MS,F,17,U,4,4,1,2,0,no,yes,no,no,1,0,13,15,16
MS,M,16,R,4,1,1,1,0,no,no,no,no,1,0,10,11,11
MS,F,17,U,1,1,1,2,0,no,no,no,yes,2,2,11,10,11
MS,F,17,R,4,2,2,2,0,yes,yes,no,no,3,0,17,18,18
MS,M,16,U,2,2,2,2,0,no,yes,no,no,2,0,12,13,13
MS,M,17,U,3,2,2,2,0,no,yes,yes,no,2,0,13,14,13
MS,M,19,U,1,1,1,2,2,no,yes,no,yes,4,2,9,9,10
MS,M,17,U,1,0,1,1,0,no,no,no,no,1,4,11,11,12
MS,F,17,R,1,1,2,1,0,no,yes,no,yes,2,3,10,11,10
MS,F,16,R,1,2,1,3,0,yes,yes,no,no,1,5,13,14,13
MS,M,16,R,1,2,1,1,0,no,no,no,no,4,4,9,10,11
MS,F,17,R,3,1,2,2,3,no,yes,no,yes,1,2,7,9,10
MS,M,17,R,2,2,2,1,0,no,no,no,yes,5,0,8,13,10
MS,M,18,R,1,0,3,1,1,yes,yes,no,no,1,0,12,12,13
MS,M,17,R,1,1,2,1,0,no,yes,no,yes,3,0,10,9,10
MS,M,18,U,1,1,2,2,0,no,yes,no,yes,4,6,10,9,10
MS,F,16,R,2,2,1,2,0,no,no,no,yes,1,0,11,13,12
MS,M,17,U,2,2,1,1,1,no,no,no,yes,3,0,7,0,0
MS,M,16,R,3,2,2,1,0,no,no,no,no,3,2,11,9,10
MS,M,16,R,1,1,2,1,0,no,no,no,yes,4,0,10,10,9
MS,M,18,R,1,1,2,1,1,no,yes,no,no,3,2,9,7,9
MS,M,18,R,3,2,1,1,1,no,no,no,no,2,0,4,0,0
MS,M,19,U,3,2,2,1,3,no,no,no,yes,1,4,6,11,9
MS,M,18,U,3,3,1,2,2,no,yes,no,yes,3,9,4,8,8
MS,M,16,R,2,2,2,1,0,no,yes,no,yes,4,6,7,8,8
MS,M,19,U,2,1,2,1,3,no,no,no,yes,3,4,8,9,9
MS,F,16,U,3,2,2,2,2,no,yes,no,yes,1,8,5,5,7
MS,F,17,U,1,1,1,1,0,no,yes,no,yes,2,9,7,9,10
MS,M,20,R,1,1,2,1,1,no,yes,no,no,4,12,8,11,10
MS,F,18,R,4,3,1,1,0,no,yes,no,no,4,8,10,11,10
MS,M,18,R,3,2,2,1,0,no,yes,no,no,5,8,9,10,11
MS,M,19,R,1,1,3,2,1,no,no,no,no,3,8,10,9,11
MS,M,17,U,3,3,2,2,1,no,yes,no,no,3,4,8,9,10
MS,M,18,U,1,3,1,1,0,no,no,no,no,3,0,9,10,9
MS,M,19,R,1,1,3,1,1,no,yes,no,no,3,4,8,9,10
MS,F,18,U,1,2,2,2,2,no,yes,no,no,1,2,6,8,8
MS,F,19,U,1,1,1,1,0,no,yes,no,no,1,0,6,8,7
MS,F,18,R,2,2,2,1,1,no,no,no,no,1,0,8,6,0
MS,F,17,R,0,0,2,1,0,no,yes,no,no,1,0,10,11,11
MS,F,17,R,3,1,2,3,0,no,yes,yes,no,2,5,8,7,8
MS,F,17,U,4,2,1,2,0,yes,yes,no,yes,3,0,8,8,0
MS,F,18,R,2,2,1,2,1,no,yes,no,yes,2,3,7,6,8
MS,F,17,U,4,1,1,1,0,no,yes,no,no,1,0,8,10,9
MS,F,17,U,1,2,1,1,0,no,no,no,no,1,0,7,10,10
MS,F,18,U,1,1,3,2,2,no,no,no,yes,2,3,7,8,7
MS,F,18,U,2,2,2,2,0,no,no,no,yes,1,2,12,13,14
MS,F,17,U,3,3,2,1,0,no,yes,no,no,1,0,11,12,13
MS,F,18,U,1,2,2,2,0,no,no,no,no,2,0,12,13,14
MS,F,18,U,4,4,2,2,0,no,no,no,yes,2,0,18,18,18
MS,M,18,U,4,4,1,1,0,no,yes,no,yes,1,3,17,17,17
MS,F,17,U,4,2,2,2,0,no,yes,no,no,2,0,17,18,18
MS,F,18,R,2,2,3,2,1,no,no,no,yes,1,0,9,0,0
MS,M,18,U,1,2,2,1,0,no,yes,no,no,5,8,10,11,11
MS,M,18,R,4,4,3,1,0,no,yes,yes,yes,1,5,12,13,14
MS,M,17,R,1,1,3,1,0,no,no,no,no,4,4,12,13,14
MS,F,18,U,2,2,2,2,0,no,yes,no,no,1,4,8,8,10
MS,F,18,U,2,2,2,3,0,no,no,no,no,4,0,11,12,13
MS,F,18,R,4,2,1,2,0,no,no,no,yes,1,0,5,0,0
MS,F,18,U,1,1,3,2,1,no,no,no,no,2,2,9,10,10
MS,F,19,U,1,1,2,1,1,no,no,no,no,3,0,5,0,0
MS,F,17,U,4,2,2,4,0,no,no,no,no,1,0,18,18,18
MS,F,17,R,2,1,2,2,0,no,no,no,yes,2,5,11,11,12
MS,F,18,U,1,1,1,2,0,no,no,no,no,2,2,8,10,11
MS,F,18,U,1,2,2,2,0,no,yes,no,no,1,0,11,11,12
MS,F,19,R,1,1,2,2,3,no,yes,no,yes,4,0,8,0,0
MS,F,18,R,2,2,2,3,0,no,no,no,no,1,5,14,14,15
MS,M,17,R,4,3,2,2,1,no,yes,yes,yes,3,4,10,11,11
MS,F,18,U,3,3,1,2,0,no,yes,no,no,1,0,10,10,10
MS,F,17,R,4,4,2,2,0,no,yes,yes,yes,2,2,12,12,12
MS,F,17,U,3,2,2,2,0,no,no,no,no,2,0,15,14,15
MS,M,18,U,1,1,2,1,0,no,no,no,no,2,2,14,13,14
MS,F,18,U,1,1,2,3,0,no,no,no,no,1,0,19,17,18
MS,F,18,R,1,2,3,2,0,no,no,no,no,4,0,16,15,15
MS,F,18,U,3,3,2,2,0,no,yes,no,no,3,6,13,12,13
MS,F,17,U,4,4,1,2,0,no,yes,no,yes,1,4,15,14,15
MS,F,17,R,1,2,2,2,0,no,no,no,no,2,0,13,13,13
MS,M,18,R,1,3,2,2,0,no,yes,yes,no,4,0,8,10,9
MS,M,18,U,4,4,2,3,0,no,no,no,no,2,0,15,16,16
MS,F,17,R,1,1,3,1,1,no,yes,no,no,2,0,8,8,9
MS,F,18,U,2,3,2,1,0,no,yes,no,no,2,0,10,10,10
MS,F,18,R,4,4,3,2,0,no,yes,no,no,2,0,7,5,0
MS,M,18,R,1,2,3,1,0,no,yes,no,yes,3,3,9,10,10
MS,F,17,U,2,2,1,3,0,no,no,no,yes,1,8,10,11,12
MS,F,17,R,1,2,1,1,0,no,no,no,yes,3,4,7,8,9
MS,F,18,R,4,4,2,3,0,no,no,no,no,1,0,15,17,17
MS,F,18,R,1,1,4,3,0,no,no,no,no,2,4,10,11,12
MS,F,19,R,1,1,2,2,1,no,yes,no,no,1,4,7,8,9
MS,F,18,R,4,4,1,2,0,no,no,no,yes,4,1,13,14,14
MS,F,18,U,3,3,1,2,0,no,no,no,no,2,1,16,16,16
MS,F,17,R,3,1,1,2,0,no,yes,no,yes,3,10,8,9,9
MS,M,18,U,4,4,1,2,0,no,no,no,yes,4,4,17,18,19
MS,M,18,R,2,1,2,1,0,no,no,no,yes,3,0,7,7,0
MS,M,17,U,2,3,2,2,0,no,no,no,yes,1,4,14,15,16
MS,M,19,R,1,1,2,1,1,no,no,no,no,3,0,5,8,0
MS,M,18,R,4,2,2,1,1,no,no,yes,no,3,0,7,7,0
MS,F,18,R,2,2,2,3,0,no,no,no,no,3,0,14,17,15
MS,F,17,U,4,3,2,2,0,no,no,no,no,1,0,6,9,11
MS,F,18,R,4,4,3,1,0,no,yes,no,yes,2,4,7,9,10
MS,F,19,R,2,3,1,3,1,no,no,no,yes,2,4,10,11,10
MS,F,18,U,3,1,1,2,0,no,yes,no,no,1,4,15,15,16
MS,F,18,U,1,1,2,2,0,no,no,no,yes,1,6,11,12,9
MS,M,17,U,3,1,2,1,0,no,no,no,no,4,6,10,10,10
MS,M,18,R,3,2,3,1,0,no,no,no,no,4,4,10,11,11